country,iso3,cpi_score,gdp_per_capita,polity2
Bangladesh,BGD,26,4964.09138891893,-6
Central African Republic,CAF,26,986.680896715623,6
Uzbekistan,UZB,26,7308.48074451221,-9
Cameroon,CMR,25,3803.45724026778,-4
Guatemala,GTM,25,9019.69380356991,8
Iran,IRN,25,12937.4759795684,-7
Lebanon,LBN,25,15195.5296771146,6
Madagascar,MDG,25,1719.90601296554,6
Mozambique,MOZ,25,1338.09666600215,5
Nigeria,NGA,25,5362.75841748844,7
Tajikistan,TJK,25,3529.31112569977,-3
Honduras,HND,24,5981.45089204649,7
Zimbabwe,ZWE,24,2961.44642810493,4
Nicaragua,NIC,22,5646.39946843178,6
Cambodia,KHM,21,4583.01645053007,-4
Chad,TCD,21,1649.52917196648,-2
Comoros,COM,21,3194.90074820584,-3
Eritrea,ERI,21,NA,-7
Iraq,IRQ,21,11362.6914755367,6
Afghanistan,AFG,19,2156.41948202725,-1
Burundi,BDI,19,784.92698867139,-1
Congo,COG,19,3835.66258234277,-4
Guinea Bissau,GNB,19,2077.40166918098,6
Turkmenistan,TKM,19,NA,-8
Democratic Republic of the Congo,COD,18,1146.53586681718,-3
Haiti,HTI,18,3034.01211008755,5
"Korea, North",PRK,18,NA,-10
Libya,LBY,17,15845.6599284929,0
Equatorial Guinea,GNQ,16,19379.2424653675,-6
Sudan,SDN,16,4122.52668491946,-4
Venezuela,VEN,15,NA,-3
Yemen,YEM,15,NA,0
Syria,SYR,14,NA,-9
Somalia,SOM,12,NA,5
South Sudan,SSD,12,NA,0
