year,mv_incumbent,post_winning_incumbent_unc,country,term_lim,iid
2000,-2.7092993,0,Brazil,1,5639
2000,-12.550604,0,Brazil,1,5640
2000,12.267295,0,Brazil,1,5645
2000,2.470696,0,Brazil,1,5646
2000,26.718849,0,Brazil,1,5647
2000,-6.3197045,1,Brazil,1,5648
2000,8.4718552,1,Brazil,1,5651
2000,20.20546,1,Brazil,1,5652
2000,8.7915926,0,Brazil,1,5653
2000,12.543022,0,Brazil,1,5654
2000,-13.268441,0,Brazil,1,5655
2000,1.5892774,0,Brazil,1,5656
2000,3.5591216,0,Brazil,1,5657
2000,9.3037214,0,Brazil,1,5659
2000,-1.1231422,1,Brazil,1,5660
2000,3.5315752,0,Brazil,1,5661
2000,-16.862144,0,Brazil,1,5662
2000,3.0500293,0,Brazil,1,5663
2000,30.892321,0,Brazil,1,5664
2000,-7.3059378,0,Brazil,1,5665
2000,-41.871098,0,Brazil,1,5668
2000,-.33181012,1,Brazil,1,5673
2000,6.1849923,0,Brazil,1,5674
2000,6.5212369,0,Brazil,1,5675
2000,14.088821,0,Brazil,1,5676
2000,17.470127,0,Brazil,1,5677
2000,-49.523342,0,Brazil,1,5678
2000,-42.082584,1,Brazil,1,5679
2000,19.739357,1,Brazil,1,5681
2000,-11.440489,0,Brazil,1,5683
2000,3.7803559,0,Brazil,1,5684
2000,-1.1494279,0,Brazil,1,5685
2000,2.1037431,0,Brazil,1,5686
2000,-18.040201,0,Brazil,1,5687
2000,25.557461,0,Brazil,1,5688
2000,-29.723415,0,Brazil,1,5689
2000,14.394533,0,Brazil,1,5690
2000,-45.141666,0,Brazil,1,5691
2000,12.440351,0,Brazil,1,5693
2000,71.964813,1,Brazil,1,5694
2000,92.988953,0,Brazil,1,5695
2000,11.539308,0,Brazil,1,5696
2000,-16.614174,1,Brazil,1,5697
2000,14.084312,1,Brazil,1,5698
2000,-4.5025439,0,Brazil,1,5700
2000,15.281013,0,Brazil,1,5702
2000,17.902994,1,Brazil,1,5704
2000,-13.776863,0,Brazil,1,5705
2000,15.077532,0,Brazil,1,5709
2000,-4.3053956,0,Brazil,1,5713
2000,31.465664,0,Brazil,1,5714
2000,-.72476566,0,Brazil,1,5717
2000,6.2977881,1,Brazil,1,5718
2000,10.445252,1,Brazil,1,5719
2000,-17.054853,0,Brazil,1,5721
2000,-23.92881,0,Brazil,1,5722
2000,-9.5940952,0,Brazil,1,5723
2000,1.3496369,0,Brazil,1,5726
2000,75.734245,1,Brazil,1,5727
2000,9.737566,1,Brazil,1,5729
2000,-17.674103,0,Brazil,1,5730
2000,10.442739,0,Brazil,1,5732
2000,48.749519,0,Brazil,1,5733
2000,6.6965671,0,Brazil,1,5734
2000,13.179096,0,Brazil,1,5738
2000,16.658773,0,Brazil,1,5739
2000,-9.4158058,0,Brazil,1,5741
2000,-11.675459,0,Brazil,1,5742
2000,8.9615431,0,Brazil,1,5744
2000,-2.8516741,1,Brazil,1,5745
2000,-10.248009,0,Brazil,1,5747
2000,3.2133341,0,Brazil,1,5748
2000,-8.1446762,1,Brazil,1,5750
2000,.011003017,1,Brazil,1,5752
2000,-46.416588,0,Brazil,1,5753
2000,1.0741591,0,Brazil,1,5754
2000,-41.526237,1,Brazil,1,5755
2000,-10.49158,1,Brazil,1,5756
2000,-2.0083129,0,Brazil,1,5757
2000,-28.165514,0,Brazil,1,5758
2000,15.512988,0,Brazil,1,5760
2000,-6.1615348,0,Brazil,1,5761
2000,-1.7722309,0,Brazil,1,5763
2000,-22.996929,0,Brazil,1,5764
2000,-8.5687876,1,Brazil,1,5766
2000,-49.895809,0,Brazil,1,5767
2000,-34.423897,0,Brazil,1,5769
2000,-22.980768,0,Brazil,1,5771
2000,-15.081549,1,Brazil,1,5772
2000,2.1622925,0,Brazil,1,5774
2000,3.7603855,0,Brazil,1,5777
2000,-10.613811,0,Brazil,1,5779
2000,17.514053,1,Brazil,1,5780
2000,-7.6005878,0,Brazil,1,5781
2000,-25.098249,0,Brazil,1,5782
2000,-9.8945913,0,Brazil,1,5783
2000,15.545991,1,Brazil,1,5786
2000,12.230214,0,Brazil,1,5788
2000,-7.9038887,0,Brazil,1,5789
2000,-2.3026557,0,Brazil,1,5790
2000,-54.752453,0,Brazil,1,5792
2000,30.318499,0,Brazil,1,5793
2000,13.40206,0,Brazil,1,5794
2000,15.300867,0,Brazil,1,5795
2000,-1.6269296,0,Brazil,1,5796
2000,-9.2151699,1,Brazil,1,5797
2000,-3.1098871,1,Brazil,1,5798
2000,-7.2867842,1,Brazil,1,5800
2000,-44.68504,0,Brazil,1,5801
2000,33.333336,0,Brazil,1,5803
2000,35.849773,0,Brazil,1,5804
2000,1.9596815,1,Brazil,1,5805
2000,20.61315,0,Brazil,1,5806
2000,100,1,Brazil,1,5807
2000,37.660519,0,Brazil,1,5808
2000,37.915619,0,Brazil,1,5810
2000,-4.6347709,0,Brazil,1,5813
2000,3.3828497,0,Brazil,1,5814
2000,70.260689,0,Brazil,1,5816
2000,21.628689,1,Brazil,1,5818
2000,20.773605,0,Brazil,1,5819
2000,17.062315,0,Brazil,1,5821
2000,-21.280727,0,Brazil,1,5823
2000,40.112831,0,Brazil,1,5824
2000,23.364088,0,Brazil,1,5825
2000,25.675907,0,Brazil,1,5827
2000,-12.408313,0,Brazil,1,5830
2000,29.984537,0,Brazil,1,5833
2000,4.8561931,0,Brazil,1,5835
2000,100,0,Brazil,1,5836
2000,66.978493,0,Brazil,1,5837
2000,11.585084,0,Brazil,1,5838
2000,51.646709,0,Brazil,1,5839
2000,6.5829368,1,Brazil,1,5841
2000,9.6585989,0,Brazil,1,5842
2000,3.4725428,0,Brazil,1,5843
2000,-16.402554,0,Brazil,1,5844
2000,-26.159346,0,Brazil,1,5845
2000,16.483519,0,Brazil,1,5846
2000,-.56613684,1,Brazil,1,5847
2000,-5.7580352,0,Brazil,1,5848
2000,-44.483746,0,Brazil,1,5850
2000,-9.0967541,0,Brazil,1,5851
2000,48.708782,0,Brazil,1,5853
2000,-18.431723,1,Brazil,1,5856
2000,1.0752678,0,Brazil,1,5858
2000,25.475288,1,Brazil,1,5859
2000,-40.496689,0,Brazil,1,5860
2000,54.735435,0,Brazil,1,5862
2000,-8.3764191,0,Brazil,1,5863
2000,25.249502,1,Brazil,1,5866
2000,-13.930595,0,Brazil,1,5867
2000,.7489711,0,Brazil,1,5868
2000,-9.4023733,0,Brazil,1,5869
2000,6.065464,0,Brazil,1,5870
2000,22.523733,0,Brazil,1,5871
2000,-5.2254767,0,Brazil,1,5873
2000,27.265274,0,Brazil,1,5875
2000,-1.664868,1,Brazil,1,5876
2000,-43.629536,0,Brazil,1,5877
2000,40.292194,1,Brazil,1,5878
2000,-1.1152387,0,Brazil,1,5879
2000,49.988483,1,Brazil,1,5880
2000,-9.7357035,0,Brazil,1,5881
2000,9.2573757,1,Brazil,1,5882
2000,78.730331,0,Brazil,1,5884
2000,-15.655533,0,Brazil,1,5886
2000,-.42305887,0,Brazil,1,5887
2000,57.86171,0,Brazil,1,5888
2000,49.465836,0,Brazil,1,5889
2000,-10.002592,0,Brazil,1,5891
2000,-13.959786,0,Brazil,1,5892
2000,-30.340839,0,Brazil,1,5896
2000,-.46193004,0,Brazil,1,5897
2000,-14.218381,1,Brazil,1,5898
2000,1.5882224,0,Brazil,1,5899
2000,74.312302,1,Brazil,1,5900
2000,22.548893,1,Brazil,1,5902
2000,.27502477,0,Brazil,1,5903
2000,-11.287827,0,Brazil,1,5904
2000,10.303903,0,Brazil,1,5905
2000,41.834927,0,Brazil,1,5906
2000,15.751237,0,Brazil,1,5907
2000,71.935143,0,Brazil,1,5908
2000,17.41662,0,Brazil,1,5909
2000,18.149775,0,Brazil,1,5912
2000,18.4205,0,Brazil,1,5916
2000,-4.6240835,0,Brazil,1,5918
2000,20.649151,0,Brazil,1,5919
2000,38.027016,0,Brazil,1,5920
2000,-12.305128,0,Brazil,1,5921
2000,4.6460509,0,Brazil,1,5922
2000,-9.4106674,0,Brazil,1,5924
2000,.077411532,0,Brazil,1,5925
2000,-22.526989,0,Brazil,1,5926
2000,-24.460905,0,Brazil,1,5929
2000,-16.165144,1,Brazil,1,5930
2000,24.743935,0,Brazil,1,5931
2000,52.173912,1,Brazil,1,5932
2000,8.6290751,1,Brazil,1,5933
2000,-8.8723269,1,Brazil,1,5934
2000,-30.044981,0,Brazil,1,5936
2000,-36.948948,0,Brazil,1,5937
2000,30.964676,1,Brazil,1,5938
2000,-54.355793,0,Brazil,1,5939
2000,-26.786634,0,Brazil,1,5940
2000,9.2662964,0,Brazil,1,5943
2000,-19.768875,0,Brazil,1,5944
2000,39.002186,1,Brazil,1,5945
2000,-2.8759928,0,Brazil,1,5946
2000,1.8485785,0,Brazil,1,5947
2000,-34.707714,0,Brazil,1,5948
2000,-11.708739,0,Brazil,1,5950
2000,-4.1474671,0,Brazil,1,5951
2000,30.409494,0,Brazil,1,5952
2000,18.754848,1,Brazil,1,5953
2000,-28.484684,0,Brazil,1,5955
2000,13.018802,0,Brazil,1,5956
2000,49.514194,0,Brazil,1,5959
2000,-1.794529,0,Brazil,1,5962
2000,100,0,Brazil,1,5963
2000,47.29221,0,Brazil,1,5964
2000,-36.818504,0,Brazil,1,5965
2000,-37.734241,0,Brazil,1,5967
2000,7.339591,0,Brazil,1,5968
2000,-20.848667,0,Brazil,1,5969
2000,23.520935,0,Brazil,1,5970
2000,-14.822849,0,Brazil,1,5971
2000,69.252563,0,Brazil,1,5972
2000,-11.042225,0,Brazil,1,5974
2000,8.4686193,0,Brazil,1,5975
2000,-4.7005534,1,Brazil,1,5976
2000,1.7857164,0,Brazil,1,5979
2000,14.488506,1,Brazil,1,5980
2000,13.545242,0,Brazil,1,5982
2000,-7.0205956,0,Brazil,1,5983
2000,6.3772707,0,Brazil,1,5984
2000,-9.0487213,0,Brazil,1,5986
2000,21.90202,0,Brazil,1,5989
2000,-15.379706,0,Brazil,1,5990
2000,30.366711,1,Brazil,1,5993
2000,-.52573979,0,Brazil,1,5994
2000,1.2081653,0,Brazil,1,5995
2000,25.407087,1,Brazil,1,5996
2000,-10.394332,0,Brazil,1,5997
2000,100,0,Brazil,1,5998
2000,-16.039789,0,Brazil,1,5999
2000,8.923584,0,Brazil,1,6000
2000,25.558182,1,Brazil,1,6002
2000,100,1,Brazil,1,6004
2000,3.7349701,0,Brazil,1,6006
