country,party,party_id,social,economic
1,PVDA-PTB,119,-0.4531712195409936,-4.556221333743348
1,VU/NVA,110,1.0544042923913794,3.027111830710158
1,AGALEV,105,-3.8698380848898095,-2.2228879308712632
1,VB,112,2.9634952881799537,0.11044532298921084
1,VLD/PVV,107,-2.5819592139257592,2.277111830710158
1,SP/SPA,103,-2.2865047118200463,-1.806221423150315
1,ECOLO,104,-3.953171338750283,-2.389554677010789
1,PS,102,-2.1198379656805204,-2.639554677010789
1,PRL/MR,106,-1.8546864649786152,2.027111830710158
1,CDV,109,1.2134952881799537,0.6937788152682636
1,PSC/CDH,108,-0.03650471182004633,-0.2228881692898419
2,LA,218,-1.1793617865575952,3.824731173514113
2,NB,220,3.2711878159509498,3.681873621939406
2,DF,215,2.9634952881799537,-0.46098345279814357
2,A,219,-4.1079333087934655,-1.6752690649044664
2,KF,203,1.034924063967308,2.6818740987765652
2,SF,206,-2.4650761744512724,-2.389554677010789
2,RV,202,-3.6793619057668843,0.7533023977267597
2,v,211,0.32063821344240484,1.967588248251662
2,EL,213,-3.9650761744512724,-3.889554677010789
2,SD,201,-0.03650471182004633,-1.1752690649044664
3,Piraten,311,-3.703171338750283,-2.489554581643357
3,CDU,301,0.8206382134424048,1.0152071142184589
3,CSU,308,2.2492094376550513,1.4913976812350604
3,LINKE,306,-2.226980890942971,-3.603840408326402
3,AfD,310,4.487304721163352,2.110445322989211
3,GRUNEN,304,-3.9412666222585844,-1.080030856133714
3,SPD,302,-1.6555523535741963,-1.1752690649044664
3,DieTier,312,-3.5365047118200463,-1.8895546770107892
3,FDP,303,-1.6079332491888203,3.015207114218459
4,MR25,417,-4.369838025285165,-3.139554677010789
4,ND,402,2.407939944552024,2.332667651175246
4,KIDISO,418,-1.8365046641363305,-0.08955448627592588
4,PASOK,401,-1.1476158759130644,-0.667332348824754
4,EL,416,4.338495288179954,-0.5145546770107892
4,SYRIZA,403,-2.592060293866555,-2.667332348824754
4,XA,415,4.963495288179954,-1.5145546770107892
4,KKE,404,1.5884952881799537,-4.778443565071836
5,PNV,506,0.6301617959009009,0.9104455137240741
5,PPP,502,2.9634952881799537,3.043778719900832
5,Pais,528,-3.3698380848898095,-2.089554724694505
5,EHB,524,-3.2865047118200463,-3.422887978554978
5,IU,504,-2.8365046641363305,-3.089554724694505
5,Cs,526,0.4301619866357651,2.5104454183566425
5,BNG,513,-1.9531714579595723,-1.9664778089535382
5,PSOE,501,-2.1031713149084252,-1.089554724694505
5,Podemos,525,-3.703171338750283,-2.7562212324154522
5,CC,517,1.2711878159509498,1.467588248251662
5,PdeCat,550,0.8301620820031959,1.977112116812453
5,Vox,527,4.630162272738059,4.443778338431105
5,ERC,511,-2.1698381564153832,-1.489554581643357
6,MoDem,613,-0.5365047118200463,1.3604453229892108
6,PCF,601,-1.2865047118200463,-3.764554677010789
6,FI,627,-1.9115047118200463,-4.014554677010789
6,RN,610,3.0884952881799537,1.9854453229892108
6,PS,602,-2.2865047118200463,-1.7645546770107892
6,EELV,605,-3.4115047118200463,-2.014554677010789
6,LREM,626,-1.8698379656805204,1.4437788152682636
6,DLF,628,3.2492094376550513,2.110445322989211
6,LR,609,1.8384952881799537,3.235445322989211
7,DS,710,-2.2031714579595723,-2.556221423150315
7,FF,701,0.677781138704856,0.5390165472018564
7,Lab,703,-2.179361786557595,-1.3181261396420152
7,I4C,711,-2.0365047118200463,-2.139554677010789
7,RI,712,2.763495478914817,2.710445227621779
7,SF,707,-0.6079334876074007,-2.7466976022732403
7,GP,705,-2.8936476370824975,-1.7466976022732403
7,S-PBP,709,-3.0365047118200463,-4.489554671050325
7,FG,702,-0.7507905623449487,1.5390165472018564
8,RI,813,-4.62474000067846,1.7104452276217792
8,M5S,845,-1.2996625563635034,-1.6790284490597394
8,SI,838,-4.349004711820046,-3.889554677010789
8,FdI,844,4.3845482209192115,1.4993341588961933
8,PD,837,-2.7733468672765893,-1.3106073713314683
8,LN,811,4.174021754549583,2.7946556234347675
8,SVP,827,1.630161795900901,0.23544532298921084
8,FI,815,1.805600676821311,2.9525507116305683
10,PvdA,1002,-1.9595815798772973,-1.2741700983059552
10,FvD,1051,3.296828303621848,4.193778338431105
10,PVV,1017,2.1942644455896216,1.5719836378085468
10,GL,1005,-4.190350856496255,-2.504939255715623
10,CU,1016,3.1173410752282935,-0.5818621492397931
10,D66,1004,-3.6518892905248803,1.3412144803988788
10,CDA,1001,2.1173415520654517,1.8027527952182147
10,PVdD,1018,-2.1134278437627954,-1.707736430169358
10,SP,1014,-0.7288121840490502,-3.504939255715623
10,VVD,1003,-0.03650471182004633,3.2642911100375507
10,SGP,1006,4.8865719178186255,2.277111830710158
10,50PLUS,1020,0.563495192812522,-0.43500917911650205
10,DENK,1050,2.5089497902856666,-1.3895546770107892
11,SNP,1105,-2.3698379656805204,-1.4520546770107892
11,GREEN,1107,-4.224004711820046,-2.7719075059902814
11,UKIP,1108,3.1634950974450904,2.843778433798537
11,LIBDEM,1104,-3.5070929190649194,-0.4189664697659161
11,BREXIT,1110,3.578880343721946,1.9993341588961933
11,LAB,1102,-2.7423870226873563,-2.948378262521043
11,PLAID,1106,-2.0365047118200463,-1.5259184217465074
11,CONS,1101,1.1399660447107154,2.1692689084994647
12,PCP,1210,0.08849528817995367,-4.139554677010789
12,PS,1205,-0.6615047118200463,-0.8895546770107892
12,CDU,1201,0.08849528817995367,-4.264554677010789
12,PEV,1211,-0.16150471182004633,-3.603840408326402
12,PAN,1250,-1.0365047118200463,-1.056221423150315
12,BE,1208,-3.2865047118200463,-3.889554677010789
12,CDS/PP,1202,3.8384952881799537,3.610445322989211
12,PSD,1206,1.9634952881799537,1.6104453229892108
13,FPO,1303,3.863494906710227,1.6104453229892108
13,SPO,1301,-1.2365047595037622,-1.2895547723782212
13,OVP,1302,2.063495192812522,2.0104454183566425
13,NEOS,1306,-2.736504759503762,2.210445227621779
13,Grune,1304,-3.6365047356619042,-2.389554677010789
14,VAS,1404,-3.5365047118200463,-3.318126139642015
14,KESK,1403,1.677781138704856,1.1818740987765652
14,SFP,1406,-2.3222190997137235,1.3247311735141132
14,KOK,1402,0.03492406396730807,2.967588248251662
14,SDP,1401,-1.7507903239263691,-1.6752690649044664
14,VIHR,1408,-4.1079333087934655,-0.7466976022732403
14,PS,1405,3.7492094376550513,1.5390165472018564
14,KD,1409,3.7492094376550513,0.8247311735141132
16,C,1603,-2.8012106081976094,3.110445322989211
16,M,1605,0.9046717026696998,2.8163278722750995
16,S/SAP,1602,-0.6247400900854272,-0.7719075059902814
16,SD,1610,3.728200946138938,0.6986807012545917
16,V,1601,-3.0953282973303002,-3.124848780633226
16,MP,1607,-3.448269452763955,-0.9483782625210431
16,L,1604,-1.8012106081976094,2.2280924940097186
16,KD,1606,2.0223188736902076,2.3457396650302265
20,GERB,2010,0.7254000046716529,1.2056835317599628
20,NFSB,2014,3.863494906710227,0.5841296339022968
20,DSB,2008,-0.3522944113744897,3.0604451322543476
20,DPS,2004,1.1063523629175025,0.06282645702241396
20,BSP,2003,2.1063523629175025,-1.8895546770107892
20,Volya,2017,3.4898109772668677,0.48544532298921084
20,Slavi Trifonov,2019,1.407939944552024,-0.5562211847317364
20,DB,2018,-2.236504759503762,1.8882229948031757
20,Ataka,2007,4.582542453096946,-1.363238987923875
20,BMRO,2005,4.463495288179954,-0.08003109455229307
21,KDU-CSL,2104,2.7412729599939185,0.6489070081698749
21,TOP09,2109,-0.18465277166501703,2.4437788152682636
21,KSCM,2103,3.03756907968386,-3.851093111039414
21,Pirates,2114,-4.036504711820046,-0.5434009408962872
21,ODS,2102,2.000532183931907,2.8141492032992694
21,ANO2011,2111,0.6942644455896216,-0.38955467701078916
21,STAN,2116,-0.9595818182958764,1.6873682165133808
21,SPD,2115,4.333865199373801,-0.2228881692898419
21,CSSD,2101,-0.11342760534421625,-2.2969621992123272
22,IRL,2201,2.3481107094751197,2.1873682165133808
22,ER,2203,-1.9595815798772973,2.5719836378085468
22,E200,2210,-2.8826584479345483,0.9565990591037128
22,SDE,2204,-3.3441970011724633,-1.5049392557156231
22,EKRE,2209,4.501956973360618,-0.19724720478178526
22,EK,2202,-0.42112013311521235,-1.1203238344204571
23,MM,2314,-3.4365046879781884,1.043778719900832
